congress,chamber,rollnumber,icpsr,cast_code
115,Senate,6,20923,1
115,Senate,6,20930,1
115,Senate,6,21112,6
115,Senate,6,21133,6
115,Senate,6,21166,6
115,Senate,6,21173,6
115,Senate,6,21301,6
115,Senate,6,21325,1
115,Senate,6,21338,6
115,Senate,6,29142,1
115,Senate,6,29147,1
115,Senate,6,29345,6
115,Senate,6,29373,1
115,Senate,6,29386,6
115,Senate,6,29389,1
115,Senate,6,29534,6
115,Senate,6,29548,6
115,Senate,6,29566,6
115,Senate,6,29722,6
115,Senate,6,29732,1
115,Senate,6,29735,6
115,Senate,6,29754,6
115,Senate,6,29909,6
115,Senate,6,29924,1
115,Senate,6,29935,6
115,Senate,6,29940,1
115,Senate,6,39310,1
115,Senate,6,40300,6
115,Senate,6,40304,6
115,Senate,6,40305,6
115,Senate,6,40700,1
115,Senate,6,40701,1
115,Senate,6,40702,1
115,Senate,6,40703,1
115,Senate,6,40704,1
115,Senate,6,40705,6
115,Senate,6,40707,6
115,Senate,6,40902,6
115,Senate,6,40904,1
115,Senate,6,40906,1
115,Senate,6,40908,1
115,Senate,6,40909,1
115,Senate,6,40910,1
115,Senate,6,40915,1
115,Senate,6,40916,1
115,Senate,6,41101,1
115,Senate,6,41102,6
115,Senate,6,41104,6
115,Senate,6,41107,6
115,Senate,6,41110,6
115,Senate,6,41111,6
115,Senate,6,41112,1
115,Senate,6,41300,1
115,Senate,6,41301,1
115,Senate,6,41302,6
115,Senate,6,41303,1
115,Senate,6,41304,6
115,Senate,6,41305,1
115,Senate,6,41308,1
115,Senate,6,41500,6
115,Senate,6,41501,6
115,Senate,6,41502,6
115,Senate,6,41503,6
115,Senate,6,41504,9
115,Senate,6,41505,6
115,Senate,6,41700,1
115,Senate,6,41701,1
115,Senate,6,41702,1
115,Senate,6,41703,6
115,Senate,6,49300,1
115,Senate,6,49308,1
115,Senate,6,49700,9
115,Senate,6,49703,1
115,Senate,6,49706,6
115,Senate,6,94659,6
115,Senate,7,14009,6
115,Senate,7,14226,6
115,Senate,7,14307,1
115,Senate,7,14435,1
115,Senate,7,14503,6
115,Senate,7,14651,1
115,Senate,7,14852,6
115,Senate,7,14858,1
115,Senate,7,14871,1
115,Senate,7,14921,6
115,Senate,7,15015,1
115,Senate,7,15021,1
115,Senate,7,15039,6
115,Senate,7,15408,1
115,Senate,7,15424,6
115,Senate,7,20100,6
115,Senate,7,20101,6
115,Senate,7,20146,6
115,Senate,7,20330,1
115,Senate,7,20707,1
